OBJECTID;WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;NO_KEL;NO_KEC;NO_KAB;ID_RT_AR;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;SHAPE.AREA;SHAPE.LEN
34569;JAKARTA TIMUR;KRAMAT JATI;CAWANG;004;003;1007;04;75;3175041007003004;0,00792003;40 cm;2;YES;Luapan Kali Ciliwung;2021-10-31 15.00.19;2021-10-31 15:00;7920,031357;481,3670165
34570;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;005;1001;03;75;3175031001005010;0,00279842;60 cm;2;YES;Luapan Kali Ciliwung;2021-10-31 15.00.19;2021-10-31 15:00;2798,419809;329,9255561
34571;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;011;005;1001;03;75;3175031001005011;0,00227763;60 cm;2;YES;Luapan Kali Ciliwung;2021-10-31 15.00.19;2021-10-31 15:00;2277,630407;258,2857023
34572;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;012;004;1001;03;75;3175031001004012;0,00251303;60 cm;2;YES;Luapan Kali Ciliwung;2021-10-31 15.00.19;2021-10-31 15:00;2513,03202;220,3603681
34632;JAKARTA SELATAN;PESANGGRAHAN;ULUJAMI;008;001;1005;10;74;3174101005001008;0,00733816;50 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;7338,164912;370,5415163
34633;JAKARTA SELATAN;PESANGGRAHAN;ULUJAMI;001;001;1005;10;74;3174101005001001;0,01236297;50 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;12362,96786;453,7659286
34634;JAKARTA SELATAN;PESANGGRAHAN;ULUJAMI;003;001;1005;10;74;3174101005001003;0,00498534;50 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;4985,335841;378,5922891
34635;JAKARTA SELATAN;PESANGGRAHAN;ULUJAMI;006;001;1005;10;74;3174101005001006;0,00408878;50 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;4088,780643;272,5711001
34636;JAKARTA SELATAN;PESANGGRAHAN;ULUJAMI;007;001;1005;10;74;3174101005001007;0,00375614;50 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;3756,136345;251,1174699
34637;JAKARTA SELATAN;PESANGGRAHAN;PETUKANGAN SELATAN;005;006;1004;10;74;3174101004006005;0,10946972;40 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;109469,7206;1606,883569
34638;JAKARTA SELATAN;PESANGGRAHAN;ULUJAMI;005;001;1005;10;74;3174101005001005;0,00541356;50 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;5413,561817;294,0199082
34639;JAKARTA SELATAN;PESANGGRAHAN;ULUJAMI;002;001;1005;10;74;3174101005001002;0,00396802;50 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;3968,020126;309,1436999
34640;JAKARTA SELATAN;PESANGGRAHAN;ULUJAMI;004;001;1005;10;74;3174101005001004;0,0061543;50 cm;2;YES;Luapan Kali Keuangan;2021-11-05 0.00.19;2021-11-05 00:00;6154,304046;367,5999363
35025;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;004;1001;03;75;3175031001004013;0,00275061;40 cm;2;YES;Luapan Kali Ciliwung;2021-11-12 21.00.20;2021-11-12 21:00;2750,606532;227,7159693
35026;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;002;004;1003;03;74;3174031003004002;0,00854782;80 cm;3;YES;Luapan Kali Mampang;2021-11-12 21.00.20;2021-11-12 21:00;8547,819633;511,2028719
35027;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;010;004;1003;03;74;3174031003004010;0,00564251;80 cm;3;YES;Luapan Kali Mampang;2021-11-12 21.00.20;2021-11-12 21:00;5642,51236;396,931041
35028;JAKARTA SELATAN;PANCORAN;DUREN TIGA;001;005;1004;08;74;3174081004005001;0,02097524;100 cm;3;YES;Curah Hujan Tinggi;2021-11-12 21.00.20;2021-11-12 21:00;20975,23984;777,2123771
35029;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;003;004;1003;03;74;3174031003004003;0,01329974;80 cm;3;YES;Luapan Kali Mampang;2021-11-12 21.00.20;2021-11-12 21:00;13299,7354;448,8733082
35030;JAKARTA SELATAN;MAMPANG PRAPATAN;TEGAL PARANG;005;004;1004;03;74;3174031004004005;0,00918782;40 cm;2;YES;Luapan Kali Mampang, Luapan Kali Krukut;2021-11-12 21.00.20;2021-11-12 21:00;9187,818424;482,8519657
35031;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;011;005;1001;03;75;3175031001005011;0,00227763;50 cm;2;YES;Luapan Kali Ciliwung;2021-11-12 21.00.20;2021-11-12 21:00;2277,630407;258,2857023
35032;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;012;003;1002;03;74;3174031002003012;0,01922259;100 cm;3;YES;Luapan Kali Mampang, Luapan Kali Krukut;2021-11-12 21.00.20;2021-11-12 21:00;19222,59312;823,5522826
35033;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;012;004;1002;03;74;3174031002004012;0,02627155;100 cm;3;YES;Luapan Kali Mampang, Luapan Kali Krukut;2021-11-12 21.00.20;2021-11-12 21:00;26271,54966;1018,291372
35034;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;011;004;1002;03;74;3174031002004011;0,02369765;100 cm;3;YES;Luapan Kali Mampang, Luapan Kali Krukut;2021-11-12 21.00.20;2021-11-12 21:00;23697,65297;816,9357437
35035;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;007;004;1003;03;74;3174031003004007;0,00411949;80 cm;3;YES;Luapan Kali Mampang;2021-11-12 21.00.20;2021-11-12 21:00;4119,494694;265,6155734
35036;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;012;004;1003;03;74;3174031003004012;0,00207407;80 cm;3;YES;Luapan Kali Mampang;2021-11-12 21.00.20;2021-11-12 21:00;2074,072764;199,5311986
35037;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;008;004;1003;03;74;3174031003004008;0,00682125;80 cm;3;YES;Luapan Kali Mampang;2021-11-12 21.00.20;2021-11-12 21:00;6821,249725;380,7967563
35038;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;009;004;1003;03;74;3174031003004009;0,00881866;80 cm;3;YES;Luapan Kali Mampang;2021-11-12 21.00.20;2021-11-12 21:00;8818,656181;373,8976156
35039;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;011;004;1003;03;74;3174031003004011;0,00389934;80 cm;3;YES;Luapan Kali Mampang;2021-11-12 21.00.20;2021-11-12 21:00;3899,341347;343,3790812
33721;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;013;004;1001;03;75;3175031001004013;0,00274992;80 cm;3;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;2750,606532;227,7159693
33722;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;012;008;1001;03;75;3175031001008012;0,00241645;40 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;2417,046037;209,4445941
33723;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;016;008;1001;03;75;3175031001008016;0,00087744;50 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;877,6557809;120,7471158
33724;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;014;008;1001;03;75;3175031001008014;0,00193077;50 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;1931,244902;209,6387404
33725;JAKARTA TIMUR;KRAMAT JATI;CAWANG;004;003;1007;04;75;3175041007003004;0,00791806;40 s/d 70 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;7920,031357;481,3670165
33726;JAKARTA TIMUR;KRAMAT JATI;CAWANG;011;005;1007;04;75;3175041007005011;0,01292527;40 s/d 70 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;12928,49837;524,4354621
33727;JAKARTA TIMUR;KRAMAT JATI;CAWANG;009;005;1007;04;75;3175041007005009;0,01356501;40 s/d 70 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;13568,39411;497,2760707
33728;JAKARTA TIMUR;KRAMAT JATI;CAWANG;002;003;1007;04;75;3175041007003002;0,0078214;40 s/d 70 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;7823,342593;422,8127437
33729;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;010;005;1001;03;75;3175031001005010;0,00279773;80 cm;3;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;2798,419809;329,9255561
