Time,Water Level (cm)
18:00,100
17:00,100
16:00,100
15:00,100
14:00,100
13:00,100
12:00,100
11:00,100
10:00,100
09:00,100
08:00,100
07:00,100
06:00,105
05:00,105
04:00,105
03:00,120
02:00,130
01:00,130
00:00,105
